category,date,downloads
with_mirrors,2022-10-12,34
with_mirrors,2022-10-13,113
with_mirrors,2022-10-14,6
with_mirrors,2022-10-15,62
with_mirrors,2022-10-16,10
with_mirrors,2022-10-17,6
with_mirrors,2022-10-18,73
with_mirrors,2022-10-19,33
with_mirrors,2022-10-20,86
with_mirrors,2022-10-21,14
with_mirrors,2022-10-22,83
with_mirrors,2022-10-23,1
with_mirrors,2022-10-24,2
with_mirrors,2022-10-25,34
with_mirrors,2022-10-26,22
with_mirrors,2022-10-27,32
with_mirrors,2022-10-28,5
with_mirrors,2022-10-29,31
with_mirrors,2022-10-30,59
with_mirrors,2022-10-31,122
with_mirrors,2022-11-01,106
with_mirrors,2022-11-02,62
with_mirrors,2022-11-03,24
with_mirrors,2022-11-04,47
with_mirrors,2022-11-05,41
with_mirrors,2022-11-06,58
with_mirrors,2022-11-07,64
with_mirrors,2022-11-08,14
with_mirrors,2022-11-09,4
with_mirrors,2022-11-10,18
with_mirrors,2022-11-11,3
with_mirrors,2022-11-12,60
with_mirrors,2022-11-13,30
with_mirrors,2022-11-14,6
with_mirrors,2022-11-15,16
with_mirrors,2022-11-16,47
with_mirrors,2022-11-17,47
with_mirrors,2022-11-18,37
with_mirrors,2022-11-19,74
with_mirrors,2022-11-20,20
with_mirrors,2022-11-21,51
with_mirrors,2022-11-22,44
with_mirrors,2022-11-23,39
with_mirrors,2022-11-24,67
with_mirrors,2022-11-25,36
